Suppliers with Products in Review,,,,2/3/2017
MemberTypeCode, "asi #", "company name", "supplier level", "SSO", "prod_ID", "prod #", "prod name", "Reason For Review", "Comment", "Review Date"
SPLR,"30270","Aakron Rule Corp",3,rvolinsky,7283527,67916,"16 oz. Folding Water Bottle","Legal Review","Vapur patent infringement",1/2/2017
SPLR,"30270","Aakron Rule Corp",3,rvolinsky,7283528,80-67916,"16 oz. Folding Water Bottle, Full Color Digital","Legal Review","Vapur patent infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524096,7018set,"9 oz. Two-Tone Matte Mug - Red","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524109,7019set,"9 oz. Two-Tone Matte Mug - Orange","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524118,7014set,"9 oz. Two-Tone Matte Mug - Yellow","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524122,7015set,"9 oz. Two-Tone Matte Mug - Cobalt","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524128,7016set,"9 oz. Two-Tone Matte Mug - Rye Green","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524129,7013set,"Mug","Legal Review","Product Infringement",1/2/2017
SPLR,"36965","Art Crystal LTD",9,lshaffer,550524133,7017set,"9 oz. Two-Tone Matte Mug - Sky Blue","Legal Review","Product Infringement",1/2/2017
SPLR,"43077","C2 Dimensions Corp",9,csanjuanelo,5134225,B160-Roller,"Ballpoint Pen","Restricted words","Bankers",1/2/2017
SPLR,"43077","C2 Dimensions Corp",9,csanjuanelo,5135837,R160,"Ballpoint Pen","Restricted words","Bankers",1/2/2017
SPLR,"43077","C2 Dimensions Corp",9,csanjuanelo,5156357,B160-Ballpoint,"Ballpoint Pen","Restricted words","Bankers",1/2/2017
SPLR,"52840","Evans Manufacturing",0,rvolinsky,7268363,4280,"16 oz Voyager Collapsible Pouch","Legal Review","Vapur patent infringement",1/2/2017
SPLR,"66887","Leed's",0,lshaffer,551164824,7120-16,"Thunderbolt Dual USB Car Charger","Legal Review","apple",11/4/2016
SPLR,"80289","RMK Worldwide Inc",9,alange,6388030,31628,"9"" 911 Carrera 4s Die Cast Replica","Legal Review","",2/12/2016
SPLR,"42424","Bullet",0,UFaruki,7257004,SM-9822,"The Mars Flashlight","Restricted words","test",11/23/2016
SPLR,"67483","LightNovelties.com",3,coliver,200202093,164-lg2012,"Custom NEON SIGN - Greek Lettering - 13"" x 32""","Legal Review","Greek Lettering",1/2/2017
SPLR,"30198","A M C Special Markets",9,sfarrell,550553091,42FZ25836,"Frozen ""Sisters"" Backpack","Legal Review","Disney Review",8/24/2016
SPLR,"30198","A M C Special Markets",9,lshaffer,551130074,42FZ26811,"Frozen Rolling Luggage","Legal Review","Disney",11/4/2016
SPLR,"30198","A M C Special Markets",9,lshaffer,551130076,42CZ26361,"Cars Lightning McQueen Backpack","Legal Review","Cars",11/4/2016
SPLR,"30198","A M C Special Markets",9,lshaffer,551130077,42TN26504,"TMNT Mutants Rule Backpack","Legal Review","Ninja Turtles",11/4/2016
